Date,evap
1-Jan-80,125
1-Feb-80,150
1-Mar-80,196
1-Apr-80,227
1-May-80,290
1-Jun-80,242
1-Jul-80,185
1-Aug-80,166
1-Sep-80,159
1-Oct-80,154
1-Nov-80,129
1-Dec-80,113
1-Jan-81,125
1-Feb-81,150
1-Mar-81,196
1-Apr-81,227
1-May-81,290
1-Jun-81,242
1-Jul-81,185
1-Aug-81,166
1-Sep-81,159
1-Oct-81,154
1-Nov-81,129
1-Dec-81,113
1-Jan-82,125
1-Feb-82,150
1-Mar-82,196
1-Apr-82,227
1-May-82,290
1-Jun-82,242
1-Jul-82,185
1-Aug-82,166
1-Sep-82,159
1-Oct-82,154
1-Nov-82,129
1-Dec-82,113
1-Jan-83,125
1-Feb-83,150
1-Mar-83,196
1-Apr-83,227
1-May-83,290
1-Jun-83,242
1-Jul-83,185
1-Aug-83,166
1-Sep-83,159
1-Oct-83,154
1-Nov-83,129
1-Dec-83,113
1-Jan-84,125
1-Feb-84,150
1-Mar-84,196
1-Apr-84,227
1-May-84,290
1-Jun-84,242
1-Jul-84,185
1-Aug-84,166
1-Sep-84,159
1-Oct-84,154
1-Nov-84,129
1-Dec-84,113
1-Jan-85,125
1-Feb-85,150
1-Mar-85,196
1-Apr-85,227
1-May-85,290
1-Jun-85,242
1-Jul-85,185
1-Aug-85,166
1-Sep-85,159
1-Oct-85,154
1-Nov-85,129
1-Dec-85,113
1-Jan-86,125
1-Feb-86,150
1-Mar-86,196
1-Apr-86,227
1-May-86,290
1-Jun-86,242
1-Jul-86,185
1-Aug-86,166
1-Sep-86,159
1-Oct-86,154
1-Nov-86,129
1-Dec-86,113
1-Jan-87,125
1-Feb-87,150
1-Mar-87,196
1-Apr-87,227
1-May-87,290
1-Jun-87,242
1-Jul-87,185
1-Aug-87,166
1-Sep-87,159
1-Oct-87,154
1-Nov-87,129
1-Dec-87,113
1-Jan-88,125
1-Feb-88,150
1-Mar-88,196
1-Apr-88,227
1-May-88,290
1-Jun-88,242
1-Jul-88,185
1-Aug-88,166
1-Sep-88,159
1-Oct-88,154
1-Nov-88,129
1-Dec-88,113
1-Jan-89,125
1-Feb-89,150
1-Mar-89,196
1-Apr-89,227
1-May-89,290
1-Jun-89,242
1-Jul-89,185
1-Aug-89,166
1-Sep-89,159
1-Oct-89,154
1-Nov-89,129
1-Dec-89,113
