Date,rain
1-Jan-80,0
1-Feb-80,0
1-Mar-80,67.4
1-Apr-80,178.8
1-May-80,124.1
1-Jun-80,262.4
1-Jul-80,187.8
1-Aug-80,91.4
1-Sep-80,171.5
1-Oct-80,58.9
1-Nov-80,60
1-Dec-80,0
1-Jan-81,0
1-Feb-81,0
1-Mar-81,78.4
1-Apr-81,32.2
1-May-81,68
1-Jun-81,127.6
1-Jul-81,85.2
1-Aug-81,169.8
1-Sep-81,219.5
1-Oct-81,162
1-Nov-81,16.2
1-Dec-81,0
1-Jan-82,0
1-Feb-82,0
1-Mar-82,12.2
1-Apr-82,117.2
1-May-82,78
1-Jun-82,138.2
1-Jul-82,193.4
1-Aug-82,88.8
1-Sep-82,38
1-Oct-82,137.6
1-Nov-82,78.8
1-Dec-82,0
1-Jan-83,0
1-Feb-83,0
1-Mar-83,0
1-Apr-83,0
1-May-83,116.6
1-Jun-83,251.8
1-Jul-83,167.6
1-Aug-83,96.6
1-Sep-83,86.8
1-Oct-83,0
1-Nov-83,25.2
1-Dec-83,109.7
1-Jan-84,0
1-Feb-84,52.2
1-Mar-84,189.2
1-Apr-84,133.4
1-May-84,58
1-Jun-84,216.8
1-Jul-84,198.5
1-Aug-84,45.7
1-Sep-84,196.6
1-Oct-84,175.4
1-Nov-84,13
1-Dec-84,60
1-Jan-85,0
1-Feb-85,0
1-Mar-85,34.8
1-Apr-85,222.3
1-May-85,70
1-Jun-85,247
1-Jul-85,73
1-Aug-85,123
1-Sep-85,116
1-Oct-85,65
1-Nov-85,62
1-Dec-85,5
1-Jan-86,23.3
1-Feb-86,0
1-Mar-86,23
1-Apr-86,82
1-May-86,142.2
1-Jun-86,205
1-Jul-86,124
1-Aug-86,146.5
1-Sep-86,199
1-Oct-86,236
1-Nov-86,29
1-Dec-86,25
1-Jan-87,0
1-Feb-87,0
1-Mar-87,0
1-Apr-87,45.7
1-May-87,105.2
1-Jun-87,136.6
1-Jul-87,70.2
1-Aug-87,97.2
1-Sep-87,172.1
1-Oct-87,135.4
1-Nov-87,98.6
1-Dec-87,80.6
1-Jan-88,0
1-Feb-88,83
1-Mar-88,50
1-Apr-88,129.8
1-May-88,128
1-Jun-88,82.4
1-Jul-88,253.2
1-Aug-88,175
1-Sep-88,192
1-Oct-88,31.8
1-Nov-88,17
1-Dec-88,0
1-Jan-89,0
1-Feb-89,0
1-Mar-89,1.4
1-Apr-89,100.6
1-May-89,116.4
1-Jun-89,111.4
1-Jul-89,231.6
1-Aug-89,53.8
1-Sep-89,88.4
1-Oct-89,122
1-Nov-89,0
1-Dec-89,0
